episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.33,
210,0,293,93.67,
215,0,324,93.22,
220,0,322,94.38,
225,0,318,91.95,
230,0,307,92.74,
235,0,306,93.87,
240,0,302,94.08,
245,0,302,93.07000000000001,
250,0,309,93.67,
255,0,306,93.41,
260,0,284,94.35,
265,0,306,91.68,
270,0,321,93.64,
275,0,321,91.74,
280,0,290,92.22999999999999,
285,0,297,94.25,
290,0,305,91.92,
295,0,298,94.24,
300,0,270,94.22,
305,0,294,93.29,
310,0,302,93.07000000000001,
315,0,297,94.58,
320,0,291,92.97999999999999,
325,0,307,94.45,
330,0,299,92.5,
335,0,304,91.36,
340,0,282,93.99,
345,0,292,93.49000000000001,
350,0,271,91.78,
355,0,284,93.77000000000001,
360,0,294,93.37,
365,0,281,93.45,
370,0,305,92.96,
375,0,275,95.44,
380,0,274,94.55,
385,0,280,92.44999999999999,
390,0,293,92.99,
395,0,271,93.52,
400,0,285,93.91,
405,0,289,93.13000000000001,
410,0,276,93.38,
415,0,289,92.89,
420,0,308,91.14999999999999,
425,0,298,93.87,
430,0,293,92.78,
435,0,290,92.18,
440,0,271,93.94,
445,0,282,92.84,
450,0,287,94.08,
455,0,284,93.45,
460,0,290,92.32,
465,0,293,92.74000000000001,
470,0,284,92.6,
475,0,306,92.23,
480,0,295,91.50999999999999,
485,0,300,93.56,
490,0,301,92.45,
495,0,306,93.98,
500,0,301,92.58,
505,0,295,93.38000000000001,
510,0,297,92.98,
515,0,295,93.37,
520,0,298,93.63000000000001,
525,0,289,94.3,
530,0,295,93.97,
535,0,287,92.0,
540,0,298,92.55,
545,0,285,92.84,
550,0,299,94.51,
555,0,284,93.08,
560,0,281,94.06,
565,0,306,92.59,
570,0,302,93.99000000000001,
575,0,304,91.75,
580,0,288,92.68,
585,0,295,94.57,
590,0,294,92.5,
595,0,284,94.8,
600,0,276,92.13000000000001,
605,0,286,92.03,
610,0,280,94.38,
615,0,277,93.72999999999999,
620,0,286,93.99,
625,0,286,95.48,
630,0,281,93.81,
635,0,301,93.51,
640,0,302,93.34,
645,0,311,94.36,
650,0,297,92.21,
655,0,305,94.76,
660,0,286,92.99,
665,0,307,93.83,
670,0,287,91.38,
675,0,295,93.29,
680,0,298,92.87,
685,0,295,93.5,
690,0,285,93.75999999999999,
695,0,298,94.30999999999999,
700,0,293,93.66,
705,0,305,93.76,
710,0,290,93.64,
715,0,303,92.13000000000001,
720,0,302,93.95,
725,0,288,93.26,
730,0,288,94.74000000000001,
735,0,296,92.91,
740,0,290,94.25,
745,0,301,92.65,
750,0,305,93.48,
755,0,302,92.9,
760,0,304,93.53,
765,0,284,95.27,
770,0,303,95.15,
775,0,309,95.12,
780,0,302,94.17,
785,0,292,93.32,
790,0,297,93.7,
795,0,309,93.66,
800,0,302,93.66000000000001,
805,0,299,92.41,
810,0,296,92.91,
815,0,290,93.13999999999999,
820,0,302,93.03,
825,0,309,93.57,
830,0,300,92.97,
835,0,299,92.78,
840,0,273,93.2,
845,0,269,92.66,
850,0,300,92.85,
855,0,301,92.33,
860,0,305,91.99,
865,0,302,91.87,
870,0,294,93.29,
875,0,304,93.44000000000001,
880,0,280,92.33,
885,0,314,92.12,
890,0,300,93.0,
895,0,299,93.17999999999999,
900,0,285,93.13000000000001,
905,0,320,94.37,
910,0,301,93.46000000000001,
915,0,285,94.28999999999999,
920,0,286,94.35,
925,0,301,92.85000000000001,
930,0,301,92.33,
935,0,301,92.55,
940,0,293,93.88,
945,0,302,93.6,
950,0,287,92.77,
955,0,295,94.73,
960,0,286,93.91,
965,0,302,93.4,
970,0,301,93.28999999999999,
975,0,294,91.91999999999999,
980,0,300,92.34,
985,0,299,92.94,
990,0,284,93.28,
995,0,300,97.6,
1000,0,303,91.67,
1005,0,301,92.96000000000001,
1010,0,308,92.77,
1015,0,300,91.67,
1020,0,287,92.96000000000001,
1025,0,302,95.0,
1030,0,297,93.47,
1035,0,294,92.49,
1040,0,300,93.05,
1045,0,305,93.7,
1050,0,287,93.28,
1055,0,304,93.44,
1060,0,318,92.72,
1065,0,292,93.67,
1070,0,289,93.22,
1075,0,304,92.94,
1080,0,300,92.18,
1085,0,317,94.16000000000001,
