episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
305,621,414,105.32000000000001,
310,346,314,103.35000000000001,
315,344,306,103.82,
320,375,314,105.97,
325,368,283,104.03999999999999,
330,350,294,103.95,
335,354,309,105.44000000000001,
340,354,306,107.61,
345,379,324,103.85,
350,354,307,109.83,
355,356,303,104.75,
360,348,296,106.05000000000001,
365,349,293,103.56,
370,349,290,104.26,
375,332,313,104.32,
380,330,300,104.94,
385,366,308,105.33,
390,345,304,104.36,
395,353,292,107.49,
400,376,313,102.53,
405,345,304,103.97,
410,385,302,102.95,
415,347,293,103.83,
420,368,312,105.8,
425,332,297,103.72,
430,321,297,101.1,
435,349,288,107.0,
440,358,296,104.61999999999999,
445,357,313,106.06,
450,352,300,104.38,
455,332,308,104.29,
460,347,304,103.47000000000001,
465,332,312,104.36,
470,339,307,103.07000000000001,
475,356,304,107.07,
480,351,303,104.81,
485,349,301,102.64,
490,351,309,104.74000000000001,
495,342,301,103.87,
500,359,312,107.27,
505,358,309,102.09,
510,371,309,104.91000000000001,
515,353,290,105.28,
520,342,308,107.36999999999999,
525,357,303,105.60000000000001,
530,329,296,102.73,
535,359,311,106.7,
540,339,303,103.56,
545,346,310,103.65,
550,344,309,102.63,
555,352,307,103.75999999999999,
560,356,306,107.17,
565,368,303,103.89,
570,358,304,102.33,
575,352,305,102.39999999999999,
580,373,311,101.97,
585,350,296,103.06,
590,355,305,105.89,
595,360,299,104.22,
600,362,296,105.33,
605,367,299,102.5,
610,357,306,107.41,
615,365,292,104.4,
620,376,301,102.22,
625,347,312,101.19,
630,329,315,105.46000000000001,
635,332,316,102.89999999999999,
640,337,298,105.28,
645,320,316,105.68,
650,347,291,105.01,
655,353,297,102.21,
660,361,317,103.22,
665,340,311,102.13999999999999,
670,350,303,103.59,
675,347,310,105.05,
680,353,303,103.63,
685,376,300,105.36,
690,358,318,104.07,
695,339,296,105.11,
700,358,304,102.91000000000001,
705,354,316,103.78,
710,344,300,104.23,
715,338,321,105.99,
720,347,297,104.78999999999999,
725,356,303,103.61999999999999,
730,348,299,103.47,
735,362,295,103.39,
740,357,317,103.99000000000001,
745,345,316,104.1,
750,346,309,102.84,
755,339,302,101.98,
760,340,303,103.54,
765,364,312,108.87,
770,360,312,107.67,
775,357,304,105.02000000000001,
780,348,309,102.49000000000001,
785,355,320,103.92,
790,349,313,103.35000000000001,
795,362,322,105.59,
800,375,314,105.19,
805,362,302,105.47,
810,353,304,105.80999999999999,
815,351,306,103.18,
