episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
305,621,414,105.32000000000001,
310,346,314,103.35000000000001,
315,344,306,103.82,
320,375,314,105.97,
325,368,283,104.03999999999999,
330,350,294,103.95,
335,354,310,105.8,
340,354,306,106.67999999999999,
345,379,326,103.56,
350,354,309,109.64999999999999,
355,356,300,105.23,
360,348,295,105.83999999999999,
365,349,293,104.94000000000001,
370,349,285,105.31,
375,332,310,103.34,
380,330,303,106.35000000000001,
385,366,296,107.28,
390,345,309,104.77,
395,353,293,107.67999999999999,
400,376,310,101.82000000000001,
405,345,306,103.1,
410,385,300,104.77,
415,347,293,104.41,
420,368,309,105.71,
425,332,288,105.45,
430,321,302,100.77,
435,349,291,105.2,
440,358,304,104.63,
445,357,311,105.19,
450,352,298,103.55,
455,332,308,102.74,
460,347,302,104.66,
465,332,313,105.02000000000001,
470,339,309,102.13,
475,356,291,107.47,
480,351,301,105.42,
485,349,313,103.25,
490,351,299,102.39,
495,342,295,103.46000000000001,
500,359,296,108.08,
505,358,319,102.85,
510,371,310,104.2,
515,353,302,104.61999999999999,
520,342,320,105.14,
525,357,306,106.55000000000001,
530,329,293,103.29,
535,359,315,104.97,
540,339,308,102.24,
545,346,321,103.22999999999999,
550,344,312,104.66,
555,352,301,104.92,
560,356,297,106.43,
565,368,303,104.81,
570,358,286,102.19,
575,352,314,104.73,
580,373,313,102.15,
585,350,314,104.48,
590,355,297,107.00999999999999,
595,360,293,103.35,
600,362,305,104.93,
605,367,312,102.16000000000001,
610,357,299,107.11999999999999,
615,365,319,102.73,
620,376,308,102.42,
625,347,309,101.2,
630,329,320,104.35,
635,332,309,104.28,
640,337,299,104.67999999999999,
645,320,312,108.05,
650,347,307,104.44,
655,353,305,102.78,
660,361,308,104.37,
665,340,302,103.19,
670,350,309,103.71,
675,347,322,104.35,
680,353,313,103.01,
685,376,307,106.05,
690,358,310,104.84,
695,339,295,105.13,
700,358,321,102.59,
705,354,306,102.82000000000001,
710,344,302,102.14,
715,338,312,103.77,
720,347,308,104.28,
725,356,322,102.63,
730,348,290,104.28,
735,362,298,103.92,
740,357,302,103.88,
745,345,310,105.49000000000001,
750,346,314,102.8,
755,339,305,102.59,
760,340,288,104.97,
765,364,291,106.39,
770,360,320,105.41000000000001,
775,357,321,103.6,
780,348,307,103.91,
785,355,324,103.9,
790,349,317,105.84,
795,362,322,105.39,
800,375,302,103.56,
805,362,299,103.31,
810,353,303,106.52000000000001,
815,351,301,101.64,
820,349,308,103.7,
