episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,94.24000000000001,
210,0,40,93.66999999999999,
215,0,50,92.47,
220,0,46,94.11,
225,0,42,93.31,
230,0,51,93.17999999999999,
235,0,128,91.01,
240,0,71,92.6,
245,0,64,91.55,
250,0,60,91.58999999999999,
255,0,86,92.50999999999999,
260,0,87,92.82,
265,0,111,90.92,
270,0,83,90.63000000000001,
275,0,76,90.76,
280,0,85,90.0,
285,0,82,91.37,
290,0,73,91.11999999999999,
295,0,70,90.77,
300,0,93,89.43,
305,0,58,90.66,
310,0,58,90.27,
315,0,60,89.75,
320,0,59,89.75999999999999,
325,0,63,90.24,
330,0,64,89.21000000000001,
335,0,51,89.25999999999999,
340,0,51,88.85,
345,0,49,90.33,
350,0,53,89.1,
355,0,54,90.05,
360,0,40,90.0,
365,0,50,89.49000000000001,
370,0,37,88.34,
375,0,34,90.05999999999999,
380,0,42,88.78,
385,0,33,89.75,
390,0,33,87.53,
395,0,42,88.73,
400,0,35,90.13,
405,0,28,90.01,
410,0,30,89.44,
415,0,32,90.45,
420,0,34,90.36,
425,0,48,89.88000000000001,
430,0,35,88.75,
435,0,29,89.42999999999999,
440,0,32,89.26,
445,0,26,89.05,
450,0,27,88.95,
455,0,31,89.4,
460,0,32,88.28,
465,0,29,89.61,
470,0,27,89.53999999999999,
475,0,31,90.24000000000001,
480,0,27,89.41,
485,0,25,88.88,
490,0,26,89.69,
495,0,23,89.44,
500,0,30,88.85000000000001,
505,0,23,89.95,
510,0,20,88.19,
515,0,21,89.19999999999999,
520,0,25,90.19,
525,0,33,88.83,
530,0,27,88.44,
535,0,20,89.16,
540,0,13,88.97000000000001,
545,0,26,88.34,
550,0,24,89.16,
555,0,29,88.48,
560,0,18,88.14999999999999,
565,0,23,88.78,
570,0,27,88.5,
575,0,22,89.13,
580,0,21,89.95,
585,0,30,90.22,
590,0,16,88.43,
595,0,15,89.78,
600,0,19,89.22,
605,0,18,89.39,
610,0,18,88.77999999999999,
615,0,14,88.61999999999999,
620,0,22,89.32,
625,0,20,88.62,
630,0,21,88.9,
635,0,23,89.05000000000001,
640,0,19,88.8,
645,0,21,89.86,
650,0,20,87.99000000000001,
655,0,25,88.49,
660,0,20,88.95,
665,0,24,88.72,
670,0,24,89.04,
675,0,15,89.79,
680,0,15,89.2,
685,0,23,89.63,
690,0,19,89.07,
695,0,14,89.23,
700,0,15,88.47000000000001,
705,0,15,88.33,
710,0,16,89.41000000000001,
715,0,25,88.82000000000001,
720,0,23,89.61,
725,0,20,88.52,
730,0,23,88.99,
735,0,17,88.80000000000001,
740,0,23,88.22999999999999,
745,0,25,88.76,
750,0,19,89.07,
755,0,14,89.12,
760,0,22,88.36,
765,0,15,88.57,
770,0,21,89.96,
775,0,20,89.89,
780,0,32,88.69,
785,0,16,88.36999999999999,
790,0,17,89.43,
795,0,16,89.31,
800,0,16,88.58,
805,0,19,88.82000000000001,
810,0,27,89.6,
815,0,15,89.59,
820,0,15,89.59,
825,0,20,88.52,
830,0,20,89.03,
835,0,24,89.41,
840,0,25,89.22,
845,0,21,89.26,
850,0,18,89.71,
855,0,16,88.94,
860,0,18,88.65,
865,0,21,89.2,
870,0,19,88.42,
875,0,23,88.67999999999999,
880,0,19,89.54,
885,0,19,89.19,
890,0,16,89.45,
895,0,12,88.7,
900,0,20,88.78,
905,0,23,89.86,
910,0,14,88.97,
915,0,16,89.47000000000001,
920,0,19,88.07,
925,0,11,88.4,
930,0,23,89.78999999999999,
935,0,18,88.8,
940,0,20,88.07000000000001,
945,0,8,88.1,
950,0,11,89.65,
955,0,15,88.06,
960,0,14,89.74,
965,0,13,88.2,
970,0,19,88.74,
975,0,24,88.77,
980,0,17,87.89,
985,0,13,88.22000000000001,
990,0,14,88.28,
995,0,14,89.02,
1000,0,17,89.39,
1005,0,20,88.87,
1010,0,15,88.42999999999999,
1015,0,17,88.58999999999999,
1020,0,13,88.87,
1025,0,12,89.13999999999999,
1030,0,11,87.79,
1035,0,15,88.47,
1040,0,14,88.07000000000001,
1045,0,14,88.62,
1050,0,11,88.61,
1055,0,16,89.57000000000001,
1060,0,13,89.8,
1065,0,16,88.59,
1070,0,14,88.74,
1075,0,12,89.16,
1080,0,10,89.49000000000001,
1085,0,15,87.92,
1090,0,14,88.86,
1095,0,14,88.71000000000001,
1100,0,21,87.82,
1105,0,13,89.96000000000001,
1110,0,15,89.19,
1115,0,16,88.84,
1120,0,16,88.92,
1125,0,19,88.66,
1130,0,22,88.75,
1135,0,14,88.72,
1140,0,10,89.58,
1145,0,15,89.72,
1150,0,15,89.73,
1155,0,15,88.57,
1160,0,19,88.44,
1165,0,20,88.6,
1170,0,16,88.61,
1175,0,13,88.76,
1180,0,9,88.88,
1185,0,10,88.75999999999999,
1190,0,16,89.57000000000001,
1195,0,15,88.94000000000001,
1200,0,12,89.44,
1205,0,15,87.9,
1210,0,10,87.81,
1215,0,14,88.92999999999999,
1220,0,16,88.91,
1225,0,16,89.0,
1230,0,13,87.53,
1235,0,12,88.42,
1240,0,17,87.91,
1245,0,17,87.71,
1250,0,15,88.3,
1255,0,8,88.71,
1260,0,17,88.35,
1265,0,9,88.15,
1270,0,16,89.43,
1275,0,13,88.71,
1280,0,12,88.16000000000001,
1285,0,15,88.26,
1290,0,18,91.45,
1295,0,16,88.47,
1300,0,13,89.08000000000001,
1305,0,11,89.03,
1310,0,14,88.95,
1315,0,18,90.57000000000001,
1320,0,15,88.7,
1325,0,19,87.83000000000001,
1330,0,16,87.64,
1335,0,5,88.63,
1340,0,5,88.2,
1345,0,8,88.37,
1350,0,9,89.17,
1355,0,13,88.8,
1360,0,11,89.03999999999999,
1365,0,17,88.64,
1370,0,12,88.73,
1375,0,12,88.3,
1380,0,11,89.08,
1385,0,8,89.31,
1390,0,11,89.78,
1395,0,18,88.54,
1400,0,14,89.29,
1405,0,14,88.91,
1410,0,11,89.33000000000001,
1415,0,10,88.19000000000001,
1420,0,15,91.11999999999999,
1425,0,13,88.19,
1430,0,15,89.14,
1435,0,16,88.73,
1440,0,6,88.52000000000001,
1445,0,13,88.89,
1450,0,12,88.03,
1455,0,14,89.53,
1460,0,9,89.27999999999999,
1465,0,14,88.1,
1470,0,10,89.33,
1475,0,14,89.08,
1480,0,12,88.79,
1485,0,12,89.06,
1490,0,12,90.02,
1495,0,9,89.28,
1500,0,5,89.36,
1505,0,8,88.66,
